tag	role	type	id	href	classes	text
a				https://bagisto-headless-electronic.vercel.app/	flex h-8 w-auto items-center md:h-9	Logoipsum
a				https://bagisto-headless-electronic.vercel.app/	flex flex-col items-center gap-1 text-xs font-semibold py-2 rounded-lg transition-colors cursor-pointer	Home
button		button			flex flex-col items-center gap-1 text-xs font-semibold py-2 rounded-lg transition-colors cursor-pointer	Categories
button		button			flex flex-col items-center gap-1 text-xs font-semibold py-2 rounded-lg transition-colors cursor-pointer cursor-pointer	Cart
button		button			flex flex-col items-center gap-1 text-xs font-semibold py-2 rounded-lg transition-colors cursor-pointer cursor-pointer bg-transparent  hover:bg-white/10 rounded-full transition-colors	Account
a				https://bagisto-headless-electronic.vercel.app/search	font-medium text-neutral-300 hover:text-white px-3 lg:px-4 py-2 rounded-full transition-colors duration-200 hover:bg-white/10 inline-flex items-center gap-1	All
a				https://bagisto-headless-electronic.vercel.app/smartphones	font-medium text-neutral-300 hover:text-white px-3 lg:px-4 py-2 rounded-full transition-colors duration-200 hover:bg-white/10 inline-flex items-center gap-1	Smartphones
a				https://bagisto-headless-electronic.vercel.app/headphones	font-medium text-neutral-300 hover:text-white px-3 lg:px-4 py-2 rounded-full transition-colors duration-200 hover:bg-white/10 inline-flex items-center gap-1	Headphones
a				https://bagisto-headless-electronic.vercel.app/entertainment	font-medium text-neutral-300 hover:text-white px-3 lg:px-4 py-2 rounded-full transition-colors duration-200 hover:bg-white/10 inline-flex items-center gap-1	Entertainment
a				https://bagisto-headless-electronic.vercel.app/appliances	font-medium text-neutral-300 hover:text-white px-3 lg:px-4 py-2 rounded-full transition-colors duration-200 hover:bg-white/10 inline-flex items-center gap-1	Appliances
button					p-2 text-white transition-colors cursor-pointer rounded-full hover:bg-white/10	
div	dialog				fixed right-0 top-0 z-50 h-full w-full max-w-[420px] bg-white dark:bg-neutral-900 shadow-2xl transition-transform duration-300 ease-out translate-x-full	SearchStart typing to search products
button					p-1 rounded-full hover:bg-neutral-100 dark:hover:bg-neutral-800 transition-colors cursor-pointer	
input		text			w-full px-4 py-3 pr-12 text-sm bg-white dark:bg-neutral-800 border border-neutral-200 dark:border-neutral-700 rounded-lg text-neutral-900 dark:text-white placeholder:text-neutral-400 focus:outline-none focus:ring-2 focus:ring-neutral-900 dark:focus:ring-neutral-500 focus:border-transparent	
button					absolute right-2 top-1/2 -translate-y-1/2 p-2 text-neutral-400 hover:text-neutral-600 dark:hover:text-neutral-300 transition-colors cursor-pointer	
button		button			cursor-pointer bg-transparent  hover:bg-white/10 rounded-full transition-colors	
button					relative p-2 text-white transition-colors cursor-pointer rounded-full hover:bg-white/10	
div	dialog				fixed right-0 top-0 z-50 h-full w-full max-w-[420px] bg-white dark:bg-neutral-900 shadow-2xl transition-transform duration-300 ease-out flex flex-col translate-x-full	Shopping CartYour cart is emptyAdd items to your cart to see them here
button					p-1 rounded-full cursor-pointer hover:bg-neutral-100 dark:hover:bg-neutral-800 transition-colors	
input	switch	checkbox			font-inherit text-[100%] leading-[1.15] m-0 p-0 overflow-visible box-border absolute top-0 w-full h-full opacity-[0.0001] z-[1] cursor-pointer disabled:cursor-default	
svg	presentation				text-white hover:text-neutral-200 transition-colors	
input		text			input w-full rounded-xl border border-neutral-700 bg-neutral-800 py-2 pl-4 pr-10 text-sm text-white outline-none placeholder:text-neutral-400 focus:ring-2 focus:ring-neutral-500 focus:border-neutral-500 md:pl-4 backdrop-blur-sm	
div	button				absolute bottom-0 right-1 top-0 flex w-9 items-center justify-center cursor-pointer	
a				https://bagisto-headless-electronic.vercel.app/	hover:text-neutral-900 dark:hover:text-white transition-colors	Home
a				https://bagisto-headless-electronic.vercel.app/search	hover:text-neutral-900 dark:hover:text-white transition-colors	Products
button					relative aspect-square rounded-lg overflow-hidden border-2 transition-all cursor-pointer border-neutral-900 dark:border-white ring-2 ring-neutral-200 dark:ring-neutral-700	
a				https://www.google.com/maps/search/?api=1&query=Cannaught%20place%2C%20New%20Delhi	text-xs font-semibold text-blue-600 hover:underline dark:text-blue-400 mt-1 inline-block	View on Map
button		button			w-full flex items-center justify-between rounded-lg border border-neutral-300 dark:border-neutral-700 bg-white dark:bg-neutral-900 text-left transition-colors px-3 py-2 text-sm text-neutral-900 dark:text-white hover:border-neutral-400 dark:hover:border-neutral-600 focus:outline-none focus:ring-2 focus:ring-neutral-400 dark:focus:ring-neutral-500 cursor-pointer	Select date
button		button			flex w-full items-center justify-between gap-2 rounded-lg border px-3 py-2 text-sm transition-colors cursor-not-allowed opacity-60 border-neutral-200 dark:border-neutral-700 bg-white dark:bg-neutral-900 text-neutral-400 dark:text-neutral-500	Select a date first
